"","orig.ident","nCount_RNA","nFeature_RNA","tissue","stage","gsm","source","sample_type","region_group","RNA_snn_res.0.1","seurat_clusters","RNA_snn_res.0.2","RNA_snn_res.0.3","RNA_snn_res.0.4","RNA_snn_res.0.5","RNA_snn_res.0.6","RNA_snn_res.0.7","RNA_snn_res.0.8","RNA_snn_res.0.9","RNA_snn_res.1","RNA_snn_res.1.1","RNA_snn_res.1.2","RNA_snn_res.1.3","RNA_snn_res.1.4","RNA_snn_res.1.5","RNA_snn_res.1.6","RNA_snn_res.1.7","RNA_snn_res.1.8","RNA_snn_res.1.9","RNA_snn_res.2","RNA_snn_res.2.1","RNA_snn_res.2.2","RNA_snn_res.2.3","RNA_snn_res.2.4","RNA_snn_res.2.5","RNA_snn_res.2.6","RNA_snn_res.2.7","RNA_snn_res.2.8","RNA_snn_res.2.9","RNA_snn_res.3"
"SRR2967486","Camp2015",373736.896794436,4822,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957434","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967487","Camp2015",315838.799258182,6455,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957435","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967488","Camp2015",417379.34105546,5718,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957436","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967489","Camp2015",121420.387167913,4031,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957437","ESC H9","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
"SRR2967490","Camp2015",378610.469369246,5561,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957438","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967491","Camp2015",491165.688491724,4954,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957439","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967492","Camp2015",181789.41189004,4066,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957440","ESC H9","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
"SRR2967493","Camp2015",230248.568937354,7258,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957441","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967494","Camp2015",294325.064598078,5127,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957442","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967495","Camp2015",168061.828752677,3081,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957443","ESC H9","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
"SRR2967496","Camp2015",361683.665269154,5241,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957444","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967497","Camp2015",500152.207045144,5098,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957445","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967498","Camp2015",376586.332386541,5578,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957446","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967499","Camp2015",379914.173488492,4450,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957447","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967500","Camp2015",267678.860450138,5994,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957448","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967501","Camp2015",140252.031849365,2678,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957449","ESC H9","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
"SRR2967502","Camp2015",149621.696502353,3055,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957450","ESC H9","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
"SRR2967503","Camp2015",411089.856812123,6116,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957451","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967504","Camp2015",373058.966027967,5133,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957452","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967505","Camp2015",251459.797291749,5662,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957453","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967506","Camp2015",121816.288517866,3532,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957454","ESC H9","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
"SRR2967507","Camp2015",369358.448770405,5034,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957455","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967508","Camp2015",268510.442626956,5853,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957456","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967509","Camp2015",460839.269796057,5870,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957457","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967510","Camp2015",523477.848380363,1063,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957458","ESC H9","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
"SRR2967511","Camp2015",246655.240121981,4623,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957459","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967512","Camp2015",254424.581352822,4519,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957460","ESC H9","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
"SRR2967513","Camp2015",380477.861074287,6008,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957461","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967514","Camp2015",300156.339569999,5711,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957462","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967515","Camp2015",490024.799261756,4903,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957463","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967516","Camp2015",331002.142923111,6480,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957464","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967517","Camp2015",163700.69922699,3734,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957465","ESC H9","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
"SRR2967518","Camp2015",339491.993123078,6199,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957466","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967519","Camp2015",156519.135552668,3223,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957467","ESC H9","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
"SRR2967520","Camp2015",481017.923202493,4221,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957468","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967521","Camp2015",322012.448850145,6703,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957469","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967522","Camp2015",347370.727271155,6767,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957470","ESC H9","organoid",NA,"0","5","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967523","Camp2015",343931.97140597,6578,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957471","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967524","Camp2015",462093.879903006,6059,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957472","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967525","Camp2015",281936.866417514,5557,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957473","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967526","Camp2015",214927.925509374,5665,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957474","ESC H9","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
"SRR2967527","Camp2015",416566.834718216,5099,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957475","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967528","Camp2015",354942.836784463,5016,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957476","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967529","Camp2015",420984.750886889,5539,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957477","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967530","Camp2015",369318.326727589,5190,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957478","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967531","Camp2015",392158.787498683,5188,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957479","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967532","Camp2015",391236.480467408,6239,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957480","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967533","Camp2015",422006.981125763,6573,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957481","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967534","Camp2015",470178.711946646,5408,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957482","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967535","Camp2015",367252.720256069,7617,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957483","iPSC 409B2","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967536","Camp2015",342561.799160888,6033,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957484","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967537","Camp2015",361263.207781158,7327,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957485","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967538","Camp2015",615772.703146241,5476,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957486","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","8"
"SRR2967539","Camp2015",361541.281811188,4312,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957487","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967540","Camp2015",381958.465454769,5908,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957488","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967541","Camp2015",277969.224382123,7178,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957489","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967542","Camp2015",403529.166675815,6815,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957490","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967543","Camp2015",443463.027486956,7429,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957491","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967544","Camp2015",242829.598486478,6010,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957492","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967545","Camp2015",208063.777498528,5303,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957493","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967546","Camp2015",316567.952840377,6123,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957495","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967547","Camp2015",311808.574820345,5099,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957497","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967548","Camp2015",220150.552327149,6919,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957499","iPSC 409B2","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967549","Camp2015",579297.492924316,5671,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957501","iPSC 409B2","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967550","Camp2015",350681.389363549,4887,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957503","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967551","Camp2015",193696.603808343,6136,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957505","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967552","Camp2015",338843.048167666,6423,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957507","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967553","Camp2015",387421.580924232,7178,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957509","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967554","Camp2015",197452.321063166,5088,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957511","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967555","Camp2015",450262.095912914,5464,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957513","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967556","Camp2015",341750.481661293,5675,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957515","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","8"
"SRR2967557","Camp2015",312868.106735501,5380,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957518","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967558","Camp2015",183205.542766955,5596,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957520","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967559","Camp2015",306400.130386957,5729,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957522","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967560","Camp2015",305347.977354443,6229,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957524","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967561","Camp2015",290320.229273184,6943,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957526","iPSC 409B2","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967562","Camp2015",336603.553895485,6747,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957527","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967563","Camp2015",277557.002004415,4821,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957528","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967564","Camp2015",244116.748510013,4436,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957529","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967565","Camp2015",611020.873120807,3029,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957530","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967566","Camp2015",260085.967564478,5256,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957531","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967567","Camp2015",271369.468557076,6437,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957532","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967568","Camp2015",342191.728097163,5603,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957533","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967569","Camp2015",552114.299450294,8068,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957534","iPSC 409B2","organoid",NA,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","2","2","2","1","1","1","1","1","1","1","1","1","0","0","0","0"
"SRR2967570","Camp2015",270032.128626165,5517,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957535","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967571","Camp2015",295015.49077379,6511,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957536","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967572","Camp2015",772336.825742738,5999,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957537","iPSC 409B2","organoid",NA,"0","7","0","0","0","2","2","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967573","Camp2015",377918.495342818,5172,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957538","iPSC 409B2","organoid",NA,"2","7","0","0","0","2","2","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967574","Camp2015",371543.50271928,6960,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957539","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967575","Camp2015",375253.51868352,6573,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957540","iPSC 409B2","organoid",NA,"0","7","0","0","0","2","2","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967576","Camp2015",441709.272430523,5040,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957541","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967577","Camp2015",445657.367093951,6273,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957542","iPSC 409B2","organoid",NA,"2","7","0","0","0","2","2","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967578","Camp2015",371552.750818904,4254,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957543","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967579","Camp2015",523132.941392803,7452,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957544","iPSC 409B2","organoid",NA,"0","6","0","0","3","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","11","11","12","12","12","12"
"SRR2967580","Camp2015",444122.872314348,6388,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957545","iPSC 409B2","organoid",NA,"0","7","0","0","0","1","1","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967581","Camp2015",265692.794266619,5466,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957546","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967582","Camp2015",325159.784137422,4480,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957547","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967583","Camp2015",311618.226467315,5165,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957548","iPSC 409B2","organoid",NA,"2","7","2","2","2","2","2","2","2","2","1","1","1","1","0","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
