"myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
0.712,1.79221539688156,0.424,2.93810710223452,0.584,0.251,"0","DISP2"
0.712,1.87955448942843,0.424,2.76631163579423,0.701,0.439,"0","KIAA1598"
0.289,1.02220247861922,0.422,1.83831329537994,0.416,0.791,"0","CCDC73"
0.711,1.86242164401465,0.422,2.75122956102182,0.623,0.274,"0","STMN4"
0.711,2.18293894880092,0.422,3.17002970641036,0.675,0.394,"0","THSD7A"
0.711,2.22629376107718,0.422,3.21854962042613,0.649,0.336,"0","RP11-380L11.4"
0.71,0.760077969807186,0.42,1.09744469183504,1,0.991,"0","TSPYL1"
0.71,1.0231221099394,0.42,1.48490045438565,0.649,0.302,"0","CTNNA2"
0.71,1.18515787006031,0.42,1.71080386994736,0.987,0.949,"0","SNRPN"
0.71,1.85511291684294,0.42,2.68438052539162,0.805,0.545,"0","SLC6A15"
0.71,1.52710992716114,0.42,2.21208218914482,0.87,0.749,"0","KIAA1467"
0.709,1.1342961325062,0.418,1.64383766806545,0.948,0.773,"0","CPE"
0.708,1.44286650398021,0.416,2.2436102794721,0.532,0.137,"0","HECW1"
0.708,1.42461108032404,0.416,2.06069515545637,0.948,0.833,"0","CLASP2"
0.708,1.98266699127719,0.416,2.92802159418907,0.584,0.237,"0","SH3BP5"
0.707,1.72243359294025,0.414,2.5267415344017,0.623,0.265,"0","TMEM35"
0.705,0.908550448505844,0.41,1.31163926568137,1,0.993,"0","RTN4"
0.705,0.827266117102952,0.41,1.2274460789429,0.766,0.469,"0","CHD3"
0.705,0.906181249294375,0.41,1.3086566198106,1,0.984,"0","DAAM1"
0.704,1.27561062692184,0.408,1.84452513045618,0.87,0.622,"0","CD200"
0.703,3.14364515514137,0.406,4.74931753019174,0.494,0.121,"0","GABRG2"
0.703,1.12208795843712,0.406,1.63117848772588,0.818,0.717,"0","PCDH9"
0.703,0.773828779421515,0.406,1.12361527721997,0.987,0.951,"0","R3HDM2"
0.703,1.34497399500281,0.406,1.98718560925048,0.753,0.543,"0","SYT14"
0.702,1.64458047515706,0.404,2.39081453533572,0.571,0.202,"0","ST18"
0.702,2.30375428137208,0.404,3.34716519434838,0.675,0.313,"0","PPP2R2B"
0.702,1.8820429957178,0.404,2.9985082786664,0.571,0.22,"0","SEZ6L"
0.934,1.88923148517921,0.868,2.75953136123313,1,0.716,"1","RPL41P2"
0.903,1.05280544297752,0.806,1.97628279323684,1,0.702,"1","HNRNPA1P8"
0.9,1.44001407874166,0.8,2.16452576909846,1,0.959,"1","TUBAP2"
0.896,1.05736248958929,0.792,1.87296235986163,1,0.845,"1","HNRNPA1P4"
0.894,0.866067437214537,0.788,1.89044869433559,1,0.725,"1","EEF1A1P12"
0.885,0.831994331898861,0.77,1.50076090501256,0.985,0.575,"1","RPS3AP25"
0.885,0.905451011526927,0.77,1.3278246494993,1,0.945,"1","AC004069.2"
0.876,1.28267291461207,0.752,1.9424276994764,1,0.793,"1","RP11-203F10.6"
0.875,1.47867040142689,0.75,2.61842637165701,0.912,0.205,"1","RPS20P35"
0.874,1.17793820683427,0.748,1.77114382584418,1,0.616,"1","MTRNR2L1"
0.871,0.343652543059713,0.742,0.562371872047484,1,0.905,"1","HNRNPA1P35"
0.871,1.04553394362465,0.742,1.5314125735721,1,0.98,"1","HNRNPA1P48"
0.87,1.08544441319404,0.74,1.63746424115061,1,0.905,"1","AC021224.1"
0.869,0.975664297931107,0.738,1.45381278838163,1,0.98,"1","EEF1A1P13"
0.869,1.1059049396729,0.738,1.69374050879,1,0.843,"1","HMGB1P10"
0.868,1.15645016426141,0.736,1.69774264107383,1,0.961,"1","RPLP0P6"
0.865,0.960127337027926,0.73,1.39634288275473,1,0.975,"1","RP11-50D9.1"
0.864,0.448052991477958,0.728,0.684859053838764,1,0.85,"1","RPL15P2"
